FILENAME,Filename French,Filename English v.2.1,Excluded in the article,Name,Nb inputs,Fq DKO,Fq DKN,Fq TOT,% DKO,% DKN,% TOT,Nb Names,Modal name,Fq modal name,% Name Agreement (/Fq inputs),% Name Agreement (/Fq names),Nb diff names,H-value,Category 1-resp,Nb category,Modal category,Fq modal category,% Category Agreement,Hcat-value,Familiarity,Fam_Nb_inputs,Fam_Mean,Fam_StDev,Visual Complexity,Nb inputs,Mean,StDev,Object Agreement,Nb inputs,Mean,StDev,Viewpoint Agreement,Nb inputs,Mean,StDev,Manipulability,Nb inputs,Mean,StDev
camera01a,camera_photo01a,camera01a,,,39,0,0,0,0%,0%,0%,39,camera,32,82%,82%,4,0.93,,38,Electronic devices&accessories,25,66%,1.46,,39,4.51,0.85,,39,3.44,1.35,,33,3.85,1.28,,33,4.03,1.26,,33,4.45,1.03
cameracase01a,etui01a,cameracase01a,,,38,0,0,0,0%,0%,0%,38,camera case,10,26%,26%,16,3.26,,38,others,12,32%,2.66,,39,3.56,1.14,,39,2.51,1.21,,33,3.45,1.18,,32,2.66,1.36,,33,1.79,1.17
candle01,bougie01,candle01,,,39,0,1,0,0%,3%,0%,38,candle,38,97%,100%,1,0.00,,38,Decoration&gift accessories,19,50%,1.71,,38,4.26,1.03,,38,2.13,1.14,,33,3.97,1.31,,33,2.67,1.47,,33,2.88,1.60
candle08b,chandelle01b,candle08b,,,39,1,0,0,3%,0%,0%,38,candle,37,95%,97%,2,0.18,,39,Decoration&gift accessories,26,67%,1.33,,39,4.28,1.12,,38,2.18,1.23,,33,3.85,1.20,,33,3.88,1.17,,33,2.70,1.47
candleholder01,chandelier01,candleholder01,,,38,3,7,0,8%,18%,0%,28,candle holder,15,39%,54%,5,1.62,,35,Decoration&gift accessories,25,71%,1.39,,37,3.49,1.43,,37,2.49,1.10,,32,3.22,1.39,,32,3.94,1.22,,32,2.00,1.32
candy,bonbon01,candy,,,38,0,1,0,0%,3%,0%,37,candy,35,92%,95%,3,0.36,,39,Food,34,87%,0.80,,39,4.36,1.16,,39,2.08,1.01,,33,3.88,1.17,,33,3.82,1.18,,33,2.33,1.34
cane,canne,cane,,,39,0,3,1,0%,8%,3%,35,cane,25,64%,71%,4,1.31,,36,Medical&instrument&accessories,19,53%,1.68,,39,3.46,1.57,,39,2.28,1.15,,32,3.91,1.35,,30,3.03,1.54,,29,3.69,1.44
canister,pot03,canister,yes,,39,0,6,0,0%,15%,0%,33,canister,7,18%,21%,16,3.55,,38,Kitchen&utensils,29,76%,1.22,,39,3.51,1.37,,39,2.90,1.33,,,,,,,,,,,,
cantaloupe01,cantaloupe,cantaloupe01a,,,39,0,1,0,0%,3%,0%,38,cantaloupe,22,56%,58%,5,1.48,,39,Food,32,82%,0.68,,39,4.28,1.10,,39,2.15,1.14,,33,4.48,1.06,,33,4.12,1.14,,33,1.33,0.89
cap01a,casquette01a,cap01a,,,37,0,0,0,0%,0%,0%,37,cap,18,49%,49%,7,2.12,,38,Clothing,35,92%,0.47,,37,4.38,0.83,,37,2.62,1.36,,33,3.55,1.39,,33,4.03,1.31,,33,3.42,1.35
