FILENAME,Filename English v.2.1,Dataset,Name,Nb inputs,Fq DKO,Fq DKN,Fq  TOT,% DKO,% DKN,% TOT,Nb names,Modal name,Fq modal name,% Name Agreement (/Fq inputs),% Name Agreement (/Fq names),Nb diff names,H-value,Category 2-resp,Nb category (answer1),Nb category (answer2),Nb category (all answers),Modal category,Fq (answer1),Fq (answer2),% Category Agreement,% Category Agreement (all answers),Hcat-value,Familiarity,Fam_Nb_inputs,Fam_Mean,Fam_StDev,Visual Complexity,Nb inputs,Mean,StDev,Object Agreement,Nb inputs,Mean,StDev,Viewpoint Agreement,Nb inputs,Mean,StDev,Manipulability,Nb inputs,Mean,StDev
jarofapplesauce,applesauce,BOSS-2014 (v.2),,42,0,3,0,0%,7%,0%,39,Apple sauce jar,10,24%,26%,11,2.68,,33,1,34,Food,32,0,97%,94%,0.2,,42,4.14,1.09,,42,2.1,1.1,,,,,,,,,,33,2.24,1.25
apricot,apricot,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,0,33,Food,33,0,100%,100%,0,,,,,,,,,,,,,,,,,,,,
apron,apron,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,apron,40,95%,95%,3,0.32,,33,6,39,Clothing,22,0,67%,56%,1.06,,42,4.57,0.8,,42,1.93,0.97,,32,3.25,1.27,,32,4,1.16,,34,3.24,1.28
aquarium,aquarium,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,aquarium,24,57%,57%,5,1.46,,33,1,34,Decoration & gift accessory,14,0,42%,41%,2.05,,42,4.29,1.02,,42,2.86,1.42,,32,2.81,1.26,,32,4.03,1.26,,34,1.97,1.19
bow,archerybow,BOSS-2014 (v.2),,42,1,0,0,2%,0%,0%,41,Bow,39,93%,95%,3,0.33,,33,7,40,War related weapon & item,19,2,58%,53%,1.53,,41,4.2,0.87,,41,1.76,0.97,,32,3.59,1.5,,32,3.09,1.47,,34,4.29,1
arm,arm,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,arm,30,71%,71%,7,1.47,,33,0,33,Bodypart,32,0,97%,97%,0.2,,42,4.93,0.34,,42,1.98,1.32,,32,4.22,1.21,,32,3.91,1.15,,34,3.47,1.6
armadillo,armadillo,BOSS-2014 (v.2),,42,2,3,4,5%,7%,10%,33,Armadillo,29,69%,88%,4,0.71,,33,2,35,Mammal,19,0,58%,54%,1.14,,41,3.95,1.05,,41,3.41,1.4,,32,3.84,1.19,,32,3.69,1.23,,33,1.33,0.65
armchair02,armchair02,BOSS-2014 (v.2),,42,0,1,0,0%,2%,0%,41,chair,23,55%,56%,9,2.15,,33,0,33,Furniture,33,0,100%,100%,0,,42,4.62,0.58,,42,2.31,1.18,,18,2.06,1.3,,18,3.72,1.41,,34,3.26,0.99
arrow02,arrow02,BOSS-2014 (v.2),,42,0,1,0,0%,2%,0%,41,arrow,38,90%,93%,2,0.38,,33,5,38,War related weapon & item,25,2,76%,71%,0.8,,42,4.24,0.98,,41,1.71,0.78,,32,4.06,1.27,,31,3.94,1.31,,34,3.53,1.26
artichoke01b,artichoke01b,BOSS-2014 (v.2),,42,0,10,7,0%,24%,17%,25,Artichoke,16,38%,64%,5,1.6,,32,0,32,Food,31,0,97%,97%,0.2,,41,3.98,1.01,,41,2.76,1.32,,,,,,,,,,33,1.67,0.96
arugula,arugula,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,6,39,Food,33,0,100%,85%,0,,,,,,,,,,,,,,,,,,,,
ashtray01,ashtray01,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,2,35,Household article & cleaner,17,1,52%,51%,1.87,,,,,,,,,,,,,,,,,,,,
asianelephant,asianelephant,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,elephant,39,93%,93%,3,0.44,,33,0,33,Mammal,32,0,97%,97%,0.2,,42,4.62,0.82,,42,3.31,1.46,,32,4.22,0.94,,32,4,1.14,,34,2.53,1.56
asparagus,asparagus,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,31,0,31,Food,29,0,94%,94%,0.41,,,,,,,,,,,,,,,,,,,,
